City_ID,City,Country,Date,Lat,Lng,Lng,Lng,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,Tasiilaq,GL,2021-06-06 23:24:48,65.6145,-37.6368,-37.6368,-37.6368,-37.6368,41.16,91,98,5.23
187,Mutsu,JP,2021-06-06 23:28:25,41.2894,141.2169,141.2169,141.2169,141.2169,71.01,67,100,11.5
188,Scottsbluff,US,2021-06-06 23:28:03,41.8666,-103.6672,-103.6672,-103.6672,-103.6672,87.12,37,1,10.0
189,Quelimane,MZ,2021-06-06 23:28:25,-17.8786,36.8883,36.8883,36.8883,36.8883,64.35,94,20,3.44
190,Rio Cuarto,AR,2021-06-06 23:28:26,-33.1307,-64.3499,-64.3499,-64.3499,-64.3499,41.83,53,20,12.01
191,Ahipara,NZ,2021-06-06 23:27:01,-35.1667,173.1667,173.1667,173.1667,173.1667,61.75,89,100,9.13
192,Lincoln,US,2021-06-06 23:23:21,40.8,-96.667,-96.667,-96.667,-96.667,85.12,54,1,4.0
193,Kamina,CD,2021-06-06 23:28:26,-8.7386,24.9906,24.9906,24.9906,24.9906,62.42,66,36,3.78
194,Kloulklubed,PW,2021-06-06 23:24:45,7.0419,134.2556,134.2556,134.2556,134.2556,77.5,81,100,7.02
195,Port Hedland,AU,2021-06-06 23:28:27,-20.3167,118.5667,118.5667,118.5667,118.5667,71.65,33,75,10.36
196,Nabire,ID,2021-06-06 23:24:58,-3.3667,135.4833,135.4833,135.4833,135.4833,78.01,88,87,1.79
197,Caravelas,BR,2021-06-06 23:25:52,-17.7125,-39.2481,-39.2481,-39.2481,-39.2481,72.61,86,9,4.92
198,Rawlins,US,2021-06-06 23:28:28,41.7911,-107.2387,-107.2387,-107.2387,-107.2387,84.09,10,1,6.91
199,Bartica,GY,2021-06-06 23:28:28,6.4,-58.6167,-58.6167,-58.6167,-58.6167,79.12,94,77,4.54
200,Ahuimanu,US,2021-06-06 23:28:28,21.4447,-157.8378,-157.8378,-157.8378,-157.8378,83.91,56,90,12.66
201,Omboue,GA,2021-06-06 23:28:29,-1.5746,9.2618,9.2618,9.2618,9.2618,75.94,95,87,4.43
202,Quatre Cocos,MU,2021-06-06 23:28:29,-20.2078,57.7625,57.7625,57.7625,57.7625,75.31,83,34,13.87
203,Nan,TH,2021-06-06 23:28:29,18.8333,100.6667,100.6667,100.6667,100.6667,73.42,100,75,2.13
204,Donskoy,RU,2021-06-06 23:28:30,53.9711,38.3363,38.3363,38.3363,38.3363,52.27,96,56,6.2
