City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
142,Aseri,59.4506,26.8675,57.18,87,46,4.74,EE,scattered clouds,2021-06-07 04:21:24
143,Port Hardy,50.6996,-127.4199,51.98,82,75,0.0,CA,broken clouds,2021-06-07 04:21:24
144,Vendome,47.8,1.0667,57.49,89,74,4.92,FR,broken clouds,2021-06-07 04:21:25
145,Galveston,29.3669,-94.9669,82.51,89,20,1.99,US,few clouds,2021-06-07 04:21:25
146,Bambous Virieux,-20.3428,57.7575,76.21,78,75,18.37,MU,light rain,2021-06-07 04:21:26
147,Ayan,56.45,138.1667,42.53,89,93,4.54,RU,overcast clouds,2021-06-07 04:21:26
148,Verkh-Usugli,52.7,115.1667,79.74,30,99,3.56,RU,overcast clouds,2021-06-07 04:21:26
149,Porto Belo,-27.1578,-48.5531,68.97,94,100,9.08,BR,moderate rain,2021-06-07 04:21:27
150,Doctor Arroyo,23.6667,-100.1833,72.86,56,53,3.18,MX,broken clouds,2021-06-07 04:21:27
151,Hobyo,5.3505,48.5268,79.11,81,4,19.82,SO,clear sky,2021-06-07 04:21:27
152,Aksay,47.26,39.87,62.82,80,99,10.25,RU,overcast clouds,2021-06-07 04:21:28
153,Dunedin,-45.8742,170.5036,51.8,75,69,14.0,NZ,broken clouds,2021-06-07 04:21:28
154,Liuzhou,24.3126,109.3892,88.81,53,53,1.86,CN,broken clouds,2021-06-07 04:21:28
155,Nyzhnya Duvanka,49.5846,38.1743,58.77,88,27,7.07,UA,scattered clouds,2021-06-07 04:21:29
156,Kulhudhuffushi,6.6221,73.07,82.18,77,81,15.28,MV,broken clouds,2021-06-07 04:21:29
157,Fairbanks,64.8378,-147.7164,70.14,43,1,5.75,US,clear sky,2021-06-07 04:21:29
158,Amalapuram,16.5833,82.0167,89.98,51,29,6.35,IN,scattered clouds,2021-06-07 04:21:30
159,Coquimbo,-29.9533,-71.3436,55.13,82,90,2.66,CL,overcast clouds,2021-06-07 04:21:30
160,Pevek,69.7008,170.3133,50.94,59,4,15.23,RU,clear sky,2021-06-07 04:21:30
161,Qaanaaq,77.484,-69.3632,38.55,73,40,6.17,GL,scattered clouds,2021-06-07 04:21:31
162,Aleppo,36.25,37.5,69.15,50,0,10.22,SY,clear sky,2021-06-07 04:21:31
163,Itarema,-2.9248,-39.9167,75.92,87,12,7.92,BR,few clouds,2021-06-07 04:21:31
164,Champerico,14.3,-91.9167,83.35,75,25,3.36,GT,scattered clouds,2021-06-07 04:21:32
165,Te Anau,-45.4167,167.7167,46.8,83,0,0.69,NZ,clear sky,2021-06-07 04:21:32
166,Hasaki,35.7333,140.8333,79.09,79,100,2.04,JP,light rain,2021-06-07 04:21:32
167,Naze,28.3667,129.4833,77.92,93,100,8.01,JP,light rain,2021-06-07 04:21:33
168,Almazar,40.3217,69.0106,89.31,21,66,19.33,UZ,broken clouds,2021-06-07 04:21:33
169,Boa Vista,2.8197,-60.6733,80.58,78,40,6.91,BR,scattered clouds,2021-06-07 04:21:34
170,Chokurdakh,70.6333,147.9167,46.04,50,44,6.11,RU,scattered clouds,2021-06-07 04:21:34
171,Yulara,-25.2406,130.9889,69.64,26,56,6.91,AU,broken clouds,2021-06-07 04:21:34
172,Beaumont,30.0861,-94.1019,80.58,92,1,6.51,US,clear sky,2021-06-07 04:21:35
173,Codrington,-38.2667,141.9667,65.46,47,100,25.41,AU,overcast clouds,2021-06-07 04:21:35
174,Flinders,-34.5833,150.8552,70.18,58,99,4.0,AU,overcast clouds,2021-06-07 04:21:35
175,Batagay-Alyta,67.8006,130.4114,50.36,57,100,9.37,RU,light rain,2021-06-07 04:21:36
176,Katastarion,37.8333,20.7667,73.58,82,0,0.89,GR,clear sky,2021-06-07 04:21:36
177,Anloga,5.7947,0.8973,80.35,81,63,7.67,GH,light rain,2021-06-07 04:21:37
